Time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4
14999.89,75893560,102466256,101835672,98259936,102045616,100095112,98019256,66735444,67344776,101049616,105702624,100113384,98953648,97654224,98348048,810320,66236244,96661136,95142160,624334,95491472,94307024,92218720,602143,84834872,83923920,84088072,764813,92019720,88262168,84770888,107689376
15300.09,75554648,100015280,104844616,97742792,102925440,98847632,103233192,63914892,69279872,102144744,103313016,98859208,100143800,99247216,99953560,1092402,65213440,95689664,96594664,891882,94589368,91864568,93912736,1151282,87528208,87403640,85953120,611158,91203440,82155432,86285448,108594568
15600.03,76652960,99915048,103238352,98513824,102221696,100434392,102554432,64445828,69875728,97880088,105571176,102788184,99410832,98193952,100479160,1154662,65825340,97637760,94535848,872957,97718464,92827896,93600064,727862,86104120,86174840,86349952,555014,91877600,83536208,87761216,104986016
15899.95,75662768,101046896,109916456,97114552,103049664,101492192,103337248,64192500,70534144,100792104,103959344,99309496,98995776,98959712,100800160,960808,66286520,98568728,97402520,932938,93450296,94813008,95762024,649117,90483912,87930888,83259144,832986,95090128,86554768,85133416,106956056
16200.13,75514168,105509400,104955256,103409576,102425672,102209640,108451288,65249796,69596312,99774568,103173296,100571392,103272632,100738720,102602592,864963,64216624,100248552,99208848,729060,94066584,94744008,94363592,522932,89587056,88919704,85567624,924736,93809456,87452336,86616112,108846792
16500.07,77940720,104969456,105319312,105858720,103281856,101391424,106797624,66190180,71252096,105347208,107013456,103069496,100386016,97815128,97273744,1025294,65949000,100607040,99267648,755530,100236640,95217864,94737256,834115,88455192,90593704,84200768,739488,92964672,89917088,92011640,108060728
16800.01,77649920,104536240,107015368,105089480,107978864,101982984,104566696,64173876,69247560,105086264,107818112,102949216,104768888,100666008,104960288,746277,65549484,98484792,97170224,643241,98277496,97492464,97719120,467560,90463640,88521928,89702640,587357,95969264,91457272,85849896,108349800
17099.97,76803832,105725528,111575344,106261896,102579728,102588000,107770168,67027252,69262408,105230648,107609120,104780344,99962496,103303904,103576544,984768,69138312,105620880,100071704,625135,101742072,97177232,96914088,914434,90324464,88828304,86983712,603138,97798704,89245136,89850784,105803056
17400.15,80001704,106391328,110987144,105105840,108961656,103496080,106638456,66759752,71901672,107407584,107407912,105539080,107925456,99520168,105756712,803711,67784976,103188528,102032400,713071,98807600,96228216,96888112,806348,93265760,90956584,90719736,694806,96996392,92072528,88685376,110056616
17700.09,79847136,107445016,106909840,106271344,108738080,104616472,107109296,64031680,70615424,106188904,106369464,109560640,101025592,106319080,105440864,1098327,67097280,101100160,103296864,562106,100269248,100418944,98677488,1034548,94150728,93729472,91131424,450004,94751600,88318064,93818808,108365912
18000.07,79526752,111090016,109209216,106935136,103191048,106320168,108881152,65087540,73441688,110068688,107536704,104781640,104104320,103967048,105503560,1044277,69813968,104421584,105932072,816997,104128544,101118320,100792672,953052,92489032,90969904,87413816,717522,98963648,92907528,89242424,109008832
18300.03,78389480,109506016,111752616,107689672,113018296,101998904,109313464,65612908,71615136,105548432,110529944,107439824,104667840,101470376,108342960,994702,67907104,106361384,100972248,659282,102577944,101235672,99173720,723109,91512752,93022184,93027792,538973,99295008,89394992,92386376,105785688
18600.22,78686256,109149840,112448520,107472512,114455168,101923024,113276352,64943280,72156560,106781392,112095928,105497792,107157632,103238352,105177544,1082594,69617216,104096248,105253712,609146,102683320,100032016,102336040,923965,89270752,93078464,88824000,705077,99708944,88695920,94559216,110517056
18900.15,78205768,111246536,109063928,111374280,113304272,108155696,111085920,66841184,74903640,106513552,109705920,111012968,110040536,102069600,108762272,1023166,69395712,108594568,103474504,649117,106683992,100348696,100554176,596245,96326600,92965104,90657544,865516,98895064,94495408,92989296,104136032
19200.08,76267312,110993296,111508736,106201536,106777352,108641816,111199128,66470236,69913336,108528544,109662112,110513752,107577048,105375624,103658592,706240,69464272,105488624,104485752,731468,105773808,102916984,100758144,1140527,91246736,96846640,91903112,689143,100926040,94672800,93538000,108638376
19500.03,82076984,111815464,114142096,111118336,114682000,109936280,111135576,67493408,72192224,111961272,113577600,109782896,109751696,109847304,106114320,1050984,68277704,104980208,102233256,951335,100887976,103481248,102707112,811675,96384480,94691848,89488496,607148,103463544,96241456,93271000,110977528
19799.98,78238184,112528640,113121672,108698656,111910616,109146840,115489200,65974408,72607304,113396968,113243056,112243504,109347616,109654064,108059232,1116465,71165960,108507848,111270400,606153,106181992,105149992,99444792,791534,95060304,92972504,93973752,925870,102787992,92658184,95244672,110096408
20100.2,81202896,108344608,116159240,107896576,112021648,110425792,113583816,69158208,74201496,110578312,111724704,111974832,107536392,108730032,110662720,745048,71548864,103394704,107432320,904935,108631584,102859360,101849104,954472,96195584,94942184,92578648,572000,103236904,95845984,96211712,110743248
20399.88,80704168,113062144,112941408,113110384,113957456,110796960,114150120,67967856,74950704,113700584,116468616,112118632,109489944,108067280,111181024,1320647,70559576,104402672,104861776,588067,108562264,102009384,100071704,832986,97364600,95659176,93250192,692508,105536264,98796216,93118400,110274384
20700.09,82723752,112881256,118115128,113088704,111549440,108910720,113879392,68301824,74871512,112480256,115453616,110290128,112592672,109636032,109679472,1111635,70978832,108195864,108067280,656032,107849456,105781856,102916984,1052038,101089840,97008712,95396952,815594,102957272,98281752,100059360,110060648
21000.01,78579368,110461288,115205416,115132424,113654248,114416896,114387920,68917040,76339376,118358536,116233400,114613248,114056272,108373520,109195144,898419,69289512,108372688,109542832,634173,107521144,105830160,104110824,617140,100285904,97246440,95743304,968890,102523256,97400296,100245048,114033952
21300,82505672,113338240,116609848,114019256,117203400,112280648,113461280,69262264,72608280,116795096,112253296,111763656,109359720,110781792,111739208,779885,69924000,110181232,104900880,834979,108219976,104534280,104439392,1082594,95145880,94776080,93624192,730262,103353376,98583496,98971592,112728360
21599.97,83928624,117266688,119207296,114200888,112496664,112191536,112032048,69174232,77042336,111598712,115313112,114511352,111658968,109737000,113702488,936912,71069888,106790712,109449816,703918,112061600,104550360,105459896,809003,97734664,97967976,96529992,595117,106150296,99962496,97041640,109098528
21900.2,83587088,116537456,117908976,114612320,118270232,111053608,118951288,68080248,75784768,114419320,118596120,116568024,112738024,109384128,111852232,991241,71773384,110695720,107705760,744465,110702856,107281192,106272872,1010525,97922224,97750800,96415344,745048,103298824,101138120,102433320,111374280
22200.16,82391312,114551488,118638912,117161192,116217360,113483848,115686312,67819136,76755784,117954792,117032944,115153584,118535488,110563864,110633904,609146,71200816,108359096,107321192,565452,107222752,104375528,106085248,837941,100265128,101141688,97259208,815594,111914648,100100120,99502904,111607664
22500.11,82841848,116407712,121534368,113727128,114813280,116021640,115278480,70663584,77264160,115535784,118617352,115267792,110520344,113206224,110923592,729060,70706848,112058176,110990648,618158,112220160,107489152,109004224,671740,99539792,97718528,96402864,490850,107665520,96880480,102100952,112179008
22800.06,84672312,115887064,120734040,116752392,116946448,116139480,116033304,69234832,75957016,122023496,116841568,118206952,115110000,111728840,111841936,1151282,73593648,110036552,113158856,548806,111823472,102594808,111761152,957742,99364984,98349024,92892488,655592,106689136,97695400,100005208,113805224
23100,85201976,119015528,118775768,118342456,120884168,116708640,120811480,69558648,76483448,115972448,117681536,119340552,116154992,112439920,114817560,1338840,72426280,113453248,109297304,834359,109176152,108849072,105262080,995949,100904544,98811032,97404240,745645,109486184,99156440,102181840,113032696
23400.19,83339832,117529832,119045696,118845928,118579864,116486280,118829480,68502240,74105416,113764792,117587304,110909920,118134456,108447784,115717904,936912,73803136,113156792,111052632,935666,114171520,110334848,109831200,787612,105545072,101581600,97086320,608145,109174624,101188840,100579464,114697944
23700.13,82987400,118282144,120481496,116756976,116486216,118506256,120629648,69625472,78970352,116159240,117489952,119195016,115857448,112107160,113147728,956174,72542080,111902592,112415920,1138647,113448224,108663776,110298184,944906,107133424,97614456,98852984,614108,110552608,101712600,99061688,110856624
24000.06,82683840,121474408,122292456,119170560,118079072,115946560,119376872,72388104,78172912,116804232,117449696,120576376,115338384,113732696,113395544,1220652,73650520,112679744,111819144,960895,113383688,110444368,108061336,1012194,103615224,101318232,99327688,618158,111780984,100349544,99643928,110749080
24300.01,83717344,119410688,124302000,115072584,119103856,116943088,119389792,68891496,78861992,120867512,116735472,118455048,116101320,111986528,114458672,1037970,76118632,114920528,111426424,656032,113651352,109516776,111393248,1414563,100703600,102585896,99485352,795769,113968224,100176744,104754968,115803800
24599.97,85111568,123257360,122880232,118316648,120201384,116221312,123127424,72405544,76539568,120160216,119127672,120934808,117561232,115592088,114541680,1302514,70986824,117755344,112424144,901966,114908592,110457936,112319288,943354,104271264,102851632,97919704,580387,104911832,102802704,103085576,114672968
24899.92,84162968,121025376,125572832,118418200,122822216,120441760,123167600,73765752,79148616,117200856,121529112,117215336,116408280,116114768,115204744,1123232,72662552,115348568,113174640,1184740,114443560,109749648,109639808,1291899,103532424,103078176,100303824,607148,109510944,101360736,103548096,110646312
25200.12,84774856,122689928,121292640,120549336,119593680,116372112,119812912,72165040,77515600,121161696,124061728,118093128,117249720,116523384,113567504,824840,72511080,114136672,111466864,441274,114145024,110316800,110157432,1081719,108105232,104875904,98981696,1002776,107174464,102135960,102764256,113413040
25500.05,84839304,118846888,122628312,120873040,122292792,116991808,121344408,71115888,79174344,121609432,121800976,118065072,117353928,116882520,119624840,1341051,73169304,115069928,113774856,777025,113688800,113516072,109947744,919410,107286632,102756304,99988960,646443,110350984,103839352,102141392,112058960
25800.01,83917136,122924904,126359792,123230488,122485032,117497856,120185208,69530344,79459936,121350744,120364184,122267824,116700584,119926992,119811288,836848,71813472,112992704,113230464,997370,114789992,114765352,112234104,1093410,103533832,101352320,100793880,818344,109238128,101113608,101893672,113397936
26099.97,84474920,121476896,121726240,119586768,122892072,119029824,125876136,72027704,78117200,121115672,124709368,119754312,121491912,115501888,120092680,1180853,74723040,113026312,114667368,978323,119141104,111699336,108909080,1096800,107086752,104324976,102357480,483628,110888664,104658224,104997304,110096888
26400.16,85223240,122733864,122884880,121169680,122516784,120292360,118245552,71825008,78317400,122509944,122086344,121135768,120200448,115588632,120377080,970494,74615400,114985008,114002392,959316,119926960,111117232,112197416,1014828,104346296,100032016,104448624,530952,111713944,106335424,105150016,113696368
26700.11,87697704,124396368,123793072,117962808,124383736,121584016,124512480,75501376,79756400,124758048,125494120,120329144,120667808,116653568,121597264,848974,74547976,116831432,114829264,625135,114827624,111920760,114271008,1087017,103049760,102369344,100627816,572458,112600880,107067192,105352528,113113288
27000.05,85311096,118545528,125049760,121720472,123426312,119762016,125785384,72137680,76437888,122492912,124633160,118284800,119085064,118704320,119445912,1108018,73089536,114429320,114040832,823636,116611992,111940504,111086296,860713,104136032,107665520,100196664,788038,115327696,103942600,107123600,115720296
27299.99,86106776,123795320,128664144,121724056,122707736,119603856,126643712,74900224,81334224,122549128,123865776,121673688,116678632,118897416,120991024,1132506,70429208,117465848,114080392,635220,118206952,115953280,115548776,1014477,102956816,105913896,102426896,610111,112761808,105696976,103390392,113967824
27600.19,86888336,124930432,128959992,123685496,123583048,120927496,126672184,69452472,79195840,124433408,124584400,125687256,121515800,117007416,121846832,1093202,72913904,121582704,115322168,537199,118648376,111403072,113718568,669793,107753816,104622824,101526256,529204,115801104,108387480,105125840,113934504
27900.14,90867352,125632112,126576744,125868144,125030112,120065760,123425976,73136760,78148944,123323240,125323632,122873824,116596304,118718584,120062400,1279811,75823176,119791576,113218968,912929,123168448,113419632,112134080,1016856,106932960,104788416,102360776,552278,115537568,105471232,105690200,114070352
28200.12,86218768,124965656,127376952,122850664,128204608,121877856,123997360,71030320,80307848,122645512,121218832,122093800,123327840,118479176,121929928,771943,73465784,120412800,118902120,983260,118056120,117200000,113480464,640070,102723008,105735792,100325064,790412,115282032,104260616,108065760,110584488
28500.07,86481832,122100320,124795040,122109728,126271208,119417024,126881864,71482736,80619776,127280720,125544536,125504904,121602464,121926928,119983448,1015548,73559216,116989800,117145160,886029,120795096,115476272,114530944,1025646,108663800,105641712,109827560,858381,117645576,109412512,108146776,116369408
28800,85919528,127583912,127591088,129642896,126813808,121993656,126356632,75292656,79334544,123358808,124866488,124560216,122752288,119495944,122525472,1141011,75509904,119733928,118296936,1110961,118956160,111579720,113260288,754284,109741264,108176056,105622464,754284,114477568,105327384,107529016,113824808
29099.96,88342816,123401936,130279432,123250176,124251976,121834328,127028584,75486320,81435136,125532928,128922072,122469072,123595264,116841568,121695504,904935,77272392,118580840,117066296,846553,119342864,116380144,115194376,959316,109455808,108066520,104454464,602143,117661200,103637752,109728728,120945200
29399.89,86594768,127376488,126810024,121779176,126517352,124389968,125173776,76355400,80997688,125567720,125542392,121832256,120805808,119069128,120911616,1240529,76873904,119441112,118047208,785020,117385160,117473880,115884488,983163,107183192,107051016,103237584,528335,115819936,107859136,109869584,115580984
29700.1,89477560,125703248,129165832,129475224,126576744,125753040,127112624,75220328,80611344,122878440,130786424,123085296,128046232,120885336,126287816,1165555,76855816,120424056,116988720,972078,120452968,111928640,117152184,1076404,110638800,110072680,104964600,390094,116318984,106523184,108505728,118080056
30000.07,87368272,125877040,128930352,125085976,126153944,124377264,128919728,72498496,81964072,128415280,127831072,127931424,127627560,120422448,122211208,866389,75939936,121313080,121193752,746277,122653968,114260104,119337872,798270,108334584,105581048,105603048,944906,123617376,106470432,110776104,113156792
30300.01,87300688,129847896,129405208,125469976,127393008,119717824,129379704,76885944,83742608,124770552,128081632,124773560,120306232,122267624,123035240,912929,76159920,119607320,115153584,744465,122257896,115185680,113580728,940264,110479328,107907024,103894456,580387,114887328,105145952,108565440,116890520
30599.99,86696776,127168152,129266976,125347816,124858464,124136240,126469592,74648040,80179272,126147512,125849016,120185480,122178280,122188040,121411944,1119564,74815184,121390960,119216840,867247,120221032,113837552,116145344,1072817,110451160,105864280,103487976,736332,119082208,110985608,109050232,113034632
30900.19,88564680,132499256,130962904,127628560,128846168,125408744,126701384,73976048,78093096,126796840,127272992,123774520,121462912,121798056,128147032,729060,77512688,121595808,117329112,1025294,122587144,114398144,115811920,767767,110628920,109078432,105966960,706098,121147680,110805064,109444744,116441168
31200.15,88482880,126315136,128978648,125368504,128123320,125248064,128391136,75303000,82597360,125503064,126025664,122999912,125221656,123951024,122499976,1104795,77276448,118694392,123006952,723109,123965360,117745448,117693344,1246858,108862992,108882920,103157224,814316,117713496,106485816,106865320,117927304
